ABQ,US,Albuquerque,NM,Albuquerque Intl
AEX,US,Alexandria,LA,Alexandria Intl
ABE,US,Allentown,PA,Allentown - Lehigh Valley Intl
AMA,US,Amarillo,TX,Amarillo Intl
ANC,US,Anchorage,AK,Anchorage Intl
ATL,US,Atlanta,GA,Atlanta - Hartsfield Intl
AUS,US,Austin,TX,Austin - Bergstrom Intl
BWI,US,Baltimore,MD,Baltimore Washington Intl
BGR,US,Bangor,ME,Bangor Intl
ABE,US,Bethlehem,PA,Allentown - Lehigh Valley Intl
BIL,US,Billings,MT,Billings - Logan Intl
BHM,US,Birmingham,AL,Birmingham Intl
BOS,US,Boston,MA,Boston - Logan Intl
BRO,US,Brownsville,TX,Brownsville - South Padre Island Intl
BUF,US,Buffalo,NY,Greater Buffalo Intl
IFP,US,Bullhead City-Laughlin,AZ,Bullhead City - Laughlin Bullhead Intl
BTV,US,Burlington,VT,Burlington Intl
CPR,US,Casper,WY,Casper - Natrona County Intl
CDC,US,Cedar City,UT,Cedar City - Municipal
CID,US,Cedar Rapids,IA,Cedar Rapids - Municipal
CHS,US,Charleston,SC,Charleston Intl
CLT,US,Charlotte,NC,Charlotte - Douglas Intl
ORD,US,Chicago,IL,Chicago - O Hare Intl
CVG,US,Cincinnati,OH,Cincinnati - N Kentucky Intl
CLE,US,Cleveland,OH,Cleveland - Hopkins Intl
COS,US,Colorado Springs,CO,Colorado Springs - Municipal
CAE,US,Columbia,SC,Columbia - Metropolitan
CRP,US,Corpus Christi,TX,Corpus Christi Intl
DFW,US,Dallas,TX,Dallas Fort Worth Intl
DAY,US,Dayton,OH,Dayton Intl
DAB,US,Daytona Beach,FL,Daytona Beach Intl
DRT,US,Del Reo,TX,DEL RIO INTL
DEN,US,Denver,CO,Denver Intl
DSM,US,Des Moines,IA,Des Moines Intl
DLH,US,Duluth,MN,Duluth Intl
RDU,US,Durham,NC,Raleigh Durham Intl
RDU,US,Durham-Raleigh,NC,Raleigh Durham Intl
ABE,US,Easton,PA,Allentown - Lehigh Valley Intl
ELP,US,El Paso,TX,El Paso Intl
ERI,US,Erie,PA,Erie Intl
FAI,US,Fairbanks,AK,Fairbanks Intl
FAR,US,Fargo,ND,Fargo - Hector Intl
FNT,US,Flint,MI,Flint - Bishop Intl
FLL,US,Fort Lauderdale,FL,Fort Lauderdale - Hollywood Intl
RSW,US,Fort Myers,FL,Ft Myers - SW Florida Intl
VPS,US,Fort Walton Beach,FL,Okaloosa County Regional Airport
FWA,US,Fort Wayne,IN,Fort Wayne Intl
GUP,US,Gallup,NM,Senator Clark Airport
GGW,US,Glasgow,MT,WOKAL FIELD/GLASGOW INTL
GFK,US,Grand Forks,ND,Grand Forks Intl
GRR,US,Grand Rapids,MI,Grand Rapids - Kent County Intl
GTF,US,Great Falls,MT,Great Falls Intl
GRB,US,Green Bay,WI,Green Bay - Austin Straubel Intl
GSO,US,Greensboro,NC,Greensboro - Piedmont Triad Intl
GLH,US,Greenville,MS,Greenville Municipal
HRL,US,Harlingen,TX,Harlingen - Rio Grande Valley Intl
MDT,US,Harrisburg,PA,Harrisburg Intl
BDL,US,Hartford,CT,Hartford - Bradley Intl
GSO,US,High Point,NC,Greensboro - Piedmont Triad Intl
ITO,US,Hilo,HI,Hilo Intl
HNL,US,Honolulu,HI,Honolulu Intl
